,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
20904,B000002393,서울동신초등학교,초등학교,1948-11-01,공립,본교,운영,서울특별시 성북구 보문동3가 228,서울특별시 성북구 보문사길 50,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2021-09-30,37.5832878743,127.0170579515,2022-03-24,C738100,청주대학교 지방교육재정연구원
20908,B000001846,서울안평초등학교,초등학교,1990-10-10,공립,본교,운영,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-09-30,37.5659682135,127.0720334225,2022-03-24,C738100,청주대학교 지방교육재정연구원
20917,B000008363,도곡중학교,중학교,1991-04-23,공립,본교,운영,서울특별시 강남구 도곡동 541-2,서울특별시 강남구 언주로57길 31,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2021-09-30,37.4923077101,127.0452178645,2022-03-24,C738100,청주대학교 지방교육재정연구원
20919,B000002269,서울서일초등학교,초등학교,1986-10-16,공립,본교,운영,서울특별시 서초구 서초동 1436-8,서울특별시 서초구 남부순환로339길 38,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2021-09-30,37.4852977769,127.0221597514,2022-03-24,C738100,청주대학교 지방교육재정연구원
20920,B000008278,보인중학교,중학교,1908-06-08,사립,본교,운영,서울특별시 송파구 오금동 162,서울특별시 송파구 오금로49길 18,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-09-30,37.4975692004,127.1395178392,2022-03-24,C738100,청주대학교 지방교육재정연구원
20931,B000002133,서울송전초등학교,초등학교,1978-10-31,공립,본교,운영,서울특별시 송파구 잠실동 44-2,서울특별시 송파구 석촌호수로 159,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-09-30,37.50881326,127.0951264602,2022-03-24,C738100,청주대학교 지방교육재정연구원
20937,B000008113,혜원여자중학교,중학교,1970-03-05,사립,본교,운영,서울특별시 중랑구 망우동 519,서울특별시 중랑구 봉우재로58길 39,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-09-30,37.5932798745,127.0970427112,2022-03-24,C738100,청주대학교 지방교육재정연구원
20942,B000023966,환일중학교,중학교,1947-06-24,사립,본교,운영,서울특별시 중구 만리동2가 218-2,서울특별시 중구 환일길 47,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2021-09-30,37.55360775,126.9628071,2022-03-24,C738100,청주대학교 지방교육재정연구원
20950,B000008122,상신중학교,중학교,1985-03-01,공립,본교,운영,서울특별시 은평구 신사동 141,서울특별시 은평구 증산로15길 61,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-09-30,37.5897854748,126.9064249346,2022-03-24,C738100,청주대학교 지방교육재정연구원
20967,B000011933,무학여자고등학교,고등학교,1940-04-20,공립,본교,운영,서울특별시 성동구 행당동 322-1,서울특별시 성동구 고산자로 197,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2021-09-30,37.5576263308,127.0338809022,2022-03-24,C738100,청주대학교 지방교육재정연구원
20986,B000008226,염광중학교,중학교,1966-10-02,사립,본교,운영,서울특별시 노원구 월계동 820,서울특별시 노원구 월계로45가길 9,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.6302165,127.049264552,2022-03-24,C738100,청주대학교 지방교육재정연구원
20996,B000008383,영등포중학교,중학교,1906-04-07,공립,본교,운영,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 5,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-09-30,37.508084602,126.9331434843,2022-03-24,C738100,청주대학교 지방교육재정연구원
21001,B000008285,강동중학교,중학교,2010-03-01,공립,본교,운영,서울특별시 강동구 강일동 347-3,서울특별시 강동구 풍산로 237,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-09-30,37.5696502492,127.1778360463,2022-03-24,C738100,청주대학교 지방교육재정연구원
21002,B000002080,화랑초등학교,초등학교,1967-12-24,사립,본교,운영,서울특별시 노원구 공릉동 27-22,서울특별시 노원구 화랑로 621,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.6287826577,127.0889915089,2022-03-24,C738100,청주대학교 지방교육재정연구원
21005,B000008433,길음중학교,중학교,2012-03-01,공립,본교,운영,서울특별시 성북구 길음동 635-7,서울특별시 성북구 길음로 144,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2021-09-30,37.6140903565,127.0174557395,2022-03-24,C738100,청주대학교 지방교육재정연구원
21015,B000011298,용산철도고등학교,고등학교,1962-03-05,공립,본교,운영,서울특별시 용산구 한강로3가 65-209,서울특별시 용산구 서빙고로 24,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2021-09-30,37.52430312,126.9673580697,2022-03-24,C738100,청주대학교 지방교육재정연구원
21017,B000002195,서울신기초등학교,초등학교,2000-10-02,공립,본교,운영,서울특별시 양천구 신정동 1274,서울특별시 양천구 신정로 292,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.5113683,126.8542129868,2022-03-24,C738100,청주대학교 지방교육재정연구원
21022,B000002415,대광초등학교,초등학교,1966-05-25,사립,본교,운영,서울특별시 성북구 보문동7가 111,서울특별시 성북구 안암로 5,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2021-09-30,37.5791510372,127.0234458571,2022-03-24,C738100,청주대학교 지방교육재정연구원
21037,B000008325,공항중학교,중학교,1955-04-02,공립,본교,운영,서울특별시 강서구 공항동 12-3,서울특별시 강서구 방화대로 241,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.5621775096,126.8149668421,2022-03-24,C738100,청주대학교 지방교육재정연구원
21038,B000002079,태강삼육초등학교,초등학교,1949-11-19,사립,본교,운영,서울특별시 노원구 공릉동 26-84,서울특별시 노원구 화랑로 815,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.643357369,127.1088503431,2022-03-24,C738100,청주대학교 지방교육재정연구원
21049,B000002329,서울조원초등학교,초등학교,2005-03-01,공립,본교,운영,서울특별시 관악구 신림동 548-2,서울특별시 관악구 조원로 67,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-09-30,37.48417783,126.909581,2022-03-24,C738100,청주대학교 지방교육재정연구원
21064,B000008197,신도봉중학교,중학교,1969-03-03,공립,본교,운영,서울특별시 도봉구 쌍문동 94-1,서울특별시 도봉구 도봉로115길 16,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.6495947287,127.0332017,2022-03-24,C738100,청주대학교 지방교육재정연구원
21072,B000011297,대경상업고등학교,고등학교,1956-04-16,사립,본교,운영,서울특별시 중구 신당동 333-579,서울특별시 중구 매봉18길 111,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2021-09-30,37.55637326,127.0169791563,2022-03-24,C738100,청주대학교 지방교육재정연구원
21073,B000002387,경복초등학교,초등학교,1964-11-26,사립,본교,운영,서울특별시 광진구 능동 25,서울특별시 광진구 천호대로130길 58,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2021-09-30,37.54982961,127.0867933502,2022-03-24,C738100,청주대학교 지방교육재정연구원
21075,B000001838,서울휘경초등학교,초등학교,1959-10-10,공립,본교,운영,서울특별시 동대문구 휘경동 302-2,서울특별시 동대문구 망우로6길 48,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-09-30,37.58573583,127.0582141502,2022-03-24,C738100,청주대학교 지방교육재정연구원
21083,B000001890,서울녹번초등학교,초등학교,1982-09-24,공립,본교,운영,서울특별시 은평구 녹번동 174,서울특별시 은평구 녹번로1길 1,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-09-30,37.604583393,126.9257462818,2022-03-24,C738100,청주대학교 지방교육재정연구원
21085,B000002185,서울신암초등학교,초등학교,1980-11-03,공립,본교,운영,서울특별시 강동구 암사동 517,서울특별시 강동구 올림픽로93길 33-16,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2021-09-30,37.5500236743,127.1244043564,2022-03-24,C738100,청주대학교 지방교육재정연구원
21087,B000008404,미성중학교,중학교,1984-05-17,공립,본교,운영,서울특별시 관악구 신림동 745-24,서울특별시 관악구 문성로16길 40,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-09-30,37.4753828116,126.9120889015,2022-03-24,C738100,청주대학교 지방교육재정연구원
21089,B000008415,마장중학교,중학교,2005-03-01,공립,본교,운영,서울특별시 성동구 마장동 766-49,서울특별시 성동구 마장로35나길 31,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2021-09-30,37.5683094939,127.0421279882,2022-03-24,C738100,청주대학교 지방교육재정연구원
