,name,latitude,longitude,address,review,savecount,visitorreviewscore
156,수수커피 강남N타워점,37.4999326,127.0323679,서울 강남구 테헤란로 129 강남N타워 G층 2호 수수커피,521,"2,000",4.37
157,인포메이션카페,37.4940797,127.0326772,서울 강남구 역삼로 121 1층,506,"4,000",4.45
158,카멜커피 현대백화점 무역센터점,37.5086329,127.0598879,서울 강남구 테헤란로 517,17,100,
159,우디집 도산점,37.5265635,127.0360333,서울 강남구 압구정로46길 32 삼일빌딩 2층 우디집,211,"6,000",4.56
160,슬로우치즈,37.5223905,127.0469808,서울 강남구 삼성로145길 13 101호 청담동),299,"31,000",4.45
161,테라로사 코엑스점,37.5116621,127.0594275,서울 강남구 영동대로 513 코엑스 1층 남2문 옆,"3,771","3,000",4.4
162,평화다방 강남역점,37.4992113,127.0280690,서울 강남구 강남대로94길 10 2층,"2,058","3,000",4.26
163,원퍼밀커피 신논현본점,37.5029237,127.0262415,서울 강남구 강남대로106길 7 1층,805,"1,000",4.86
164,스크렘,37.5037272,127.0264689,서울 강남구 봉은사로4길 17 1F,339,"14,000",4.37
165,나따오비까 신사점,37.5193591,127.0207114,서울 강남구 압구정로2길 37,529,"7,000",4.31
166,카페캠프통,37.5270199,127.0352982,서울 강남구 압구정로42길 27 카페캠프통,602,"8,000",4.51
167,아이엠지,37.5231280,127.0361911,서울 강남구 도산대로45길 10-4 2층,22,"1,000",
168,플롭,37.5178623,127.0210888,서울 강남구 강남대로154길 24 1층,80,"1,000",
169,쿠스 다이닝,37.5240965,127.0370577,"서울 강남구 도산대로49길 17 , 1층 KUO'S",386,"5,000",4.37
170,37.5 청담삼성점,37.5163986,127.0506156,서울 강남구 삼성로119길 8 2층,762,"1,000",4.7
171,원더시티 뉴욕컵케이크,37.5116912,127.0214514,서울 강남구 강남대로 556 논현빌딩 1층,479,"7,000",4.45
172,두넛샵,37.5273332,127.0359909,서울 강남구 언주로172길 28 1층,262,"11,000",4.35
173,스탠다드시스템,37.5225903,127.0436034,서울 강남구 선릉로148길 48-5,224,"16,000",4.74
174,빈스플,37.5026541,127.0273472,서울 강남구 강남대로102길 23 2층,661,"3,000",4.37
175,펠어커피 강남포스코사거리점,37.5049249,127.0563256,서울 강남구 삼성로85길 11 롯데캐슬아파트상가 1층,509,"1,000",4.76
