tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floor_estate,floor_buliding,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,rest_N,day_pop,night_pop,score,2nPrc,평당가격,가성비,가성비_Rank,Score_Rank,Total_Rank
월세,180,"2,000",64,B1,3,37.555903,126.923982,6945,33,123,48,8,1,189.0818517560052,2,43,508151.67,471457.29,22495606.49417739,63200000.0,987500.0,0.007032911392405,113,178,165.0
월세,410,"9,000",52,1,5,37.548482,126.916746,6583,31,220,41,6,1,286.66009424515966,2,63,508151.67,471457.29,27281353.887545638,188400000.0,3623076.923076923,0.0018169639065817,675,38,165.4
월세,300,"3,000",208,B1,6,37.555112,126.910606,910,35,100,43,4,1,119.61676466046414,2,40,508151.67,471457.29,27211534.67461465,102000000.0,490384.6153846154,0.0018556862745098,666,41,166.00000000000003
월세,148,"1,000",33,1,3,37.54811,126.918959,9743,30,250,47,7,2,345.9931978720273,2,64,508151.67,471457.29,22412742.442247927,45520000.0,1379393.9393939397,0.0070632469244288,112,180,166.4
월세,320,"5,000",95,3,5,37.556575,126.924929,5756,35,128,54,7,1,79.33781898689891,2,45,508151.67,471457.29,23217814.602282196,126800000.0,1334736.8421052631,0.0043124605678233,283,138,167.0
월세,70,700,21,1,2,37.548881,126.915605,3589,28,196,36,7,1,176.7761592906744,2,69,508151.67,471457.29,24577078.38075227,23800000.0,1133333.3333333333,0.0031667647058823,417,105,167.4
월세,"2,000",2억,488,14,17,37.556406,126.923884,6945,34,124,52,9,1,158.2787642382801,2,47,508151.67,471457.29,22875159.222777437,680000000.0,1393442.6229508198,0.0049840588235294,219,155,167.8
월세,700,2억,263,4,5,37.554309,126.923296,6080,39,151,40,6,1,369.5256431386211,2,38,508151.67,471457.29,23137556.391291603,368000000.0,1399239.5437262356,0.0043452173913043,277,143,169.8
월세,200,"3,000",118,2,6,37.556761,126.926024,5756,30,122,50,5,1,74.22573504415317,2,41,508151.67,471457.29,22035508.963594638,78000000.0,661016.9491525424,0.0087077948717948,68,201,174.4
월세,380,"5,000",85,1,5,37.548896,126.915787,3589,28,199,36,8,1,191.24084920216467,2,67,508151.67,471457.29,26117100.613565315,141200000.0,1661176.4705882352,0.0021605169971671,595,71,175.8
월세,100,"1,500",50,3,5,37.549659,126.915612,3589,27,203,39,7,1,166.55278469625287,2,69,508151.67,471457.29,22836242.46961262,39000000.0,780000.0,0.004601282051282,250,159,177.2
월세,200,"3,000",108,B1,4,37.549231,126.918678,9743,30,250,51,8,2,404.7062654285807,2,74,508151.67,471457.29,21724104.392988756,78000000.0,722222.2222222222,0.0134903076923076,15,220,179.0
월세,230,"3,000",99,3,4,37.555872,126.923777,6945,33,121,48,9,1,203.80278346800884,2,43,508151.67,471457.29,21995278.187437292,85200000.0,860606.0606060605,0.0080698943661971,84,203,179.20000000000002
월세,"1,100","1억 5,000",385,2,5,37.549917,126.920016,7825,30,247,51,8,1,349.86813631338345,2,71,508151.67,471457.29,22077817.356305584,414000000.0,1075324.6753246754,0.0072768719806763,107,199,180.60000000000002
월세,250,"4,000",50,1,3,37.549424,126.916946,8571,31,250,46,8,1,282.7576984084132,2,72,508151.67,471457.29,22863538.250013053,100000000.0,2000000.0,0.0042855,286,156,182.0
월세,80,800,16,B1,1,37.549868,126.918447,9743,27,253,48,6,2,417.4851853655781,2,79,508151.67,471457.29,22323045.831647694,27200000.0,1700000.0,0.0057311764705882,176,185,183.2
월세,280,"3,000",53,1,2,37.541726,126.950777,4384,45,2,7,7,2,264.7950007206752,4,12,508151.67,471457.29,25150251.354273602,97200000.0,1833962.2641509436,0.0023904526748971,537,95,183.4
월세,400,"5,000",108,3,4,37.555643,126.923469,6945,33,129,46,9,1,240.9852431487363,2,46,508151.67,471457.29,22515009.979545426,146000000.0,1351851.851851852,0.0051373972602739,210,177,183.6
월세,600,1억,213,2,4,37.555479,126.925116,7753,45,122,43,7,1,191.9042364204944,2,38,508151.67,471457.29,22038536.814534105,244000000.0,1145539.9061032864,0.006767987704918,126,200,185.2
월세,600,1억,140,2,5,37.556371,126.924529,6945,34,132,56,7,1,118.2143776398046,2,48,508151.67,471457.29,22877671.6197814,244000000.0,1742857.142857143,0.0039848360655737,312,154,185.60000000000002
월세,170,"2,000",52,3,4,37.550294,126.920877,7549,34,240,52,6,1,335.3956112834934,0,70,508151.67,471457.29,22121604.324369702,60800000.0,1169230.7692307692,0.0064563815789473,142,197,186.00000000000003
월세,270,"6,000",33,1,1,37.54195,126.951782,4384,42,1,7,6,1,230.56078054715152,2,11,508151.67,471457.29,34523607.730911195,124800000.0,3781818.1818181816,0.0011592307692307,930,2,187.6
월세,"1,200",3억,340,2,15,37.556763,126.924162,6945,32,131,53,8,1,117.56697791830202,2,51,508151.67,471457.29,22836743.37178185,588000000.0,1729411.7647058824,0.0040158163265306,310,158,188.4
월세,360,"5,000",253,B1,5,37.549912,126.918837,9743,27,253,48,7,2,430.01554587069165,2,78,508151.67,471457.29,21485871.865263164,136400000.0,539130.4347826086,0.0180716935483871,7,235,189.4
월세,440,1억,66,1,5,37.549127,126.916629,6583,31,234,41,8,1,257.5035278883082,2,68,508151.67,471457.29,25419619.19215393,205600000.0,3115151.515151515,0.0021132198443579,615,85,191.0
월세,200,"1,000",16,1,2,37.550331,126.919945,7825,31,248,49,7,1,387.5935473737516,2,71,508151.67,471457.29,25301795.406259906,58000000.0,3625000.0,0.0021586206896551,596,90,191.2
월세,270,"4,000",90,3,4,37.555697,126.925465,7753,43,116,43,6,1,166.40147399761412,2,36,508151.67,471457.29,21905074.905933626,104800000.0,1164444.4444444445,0.0066581106870229,133,206,191.4
