,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude
5892,월세,500,"6,000",82,B1/6,남향,37.546049,126.915482
5893,매매,0,"13억 5,000",42,1/25,남동향,37.580069,126.889006
5894,월세,380,"6,000",161,2/7,북향,37.550639,126.920526
5895,월세,400,"5,000",33,1/3,남서향,37.552112,126.923814
5896,월세,180,"3,000",71,1/4,남서향,37.563768,126.918983
5897,월세,120,"2,000",64,4/15,,37.553441,126.937494
5898,월세,109,"1,000",36,1/3,남서향,37.561578,126.919992
5899,월세,190,"2,000",49,1/4,남동향,37.562124,126.918253
5900,월세,230,"2,500",44,1/5,남동향,37.552975,126.916885
5901,매매,0,5억,25,1/20,남향,37.580069,126.889006
5902,월세,215,"2,000",36,1/5,북향,37.555072,126.917624
5903,월세,99,"1,200",23,1/2,남향,37.557833,126.904028
5904,월세,430,"8,000",96,1/5,남향,37.555213,126.916205
5905,월세,"2,500",4억,556,3/5,남동향,37.554309,126.923296
5906,월세,"1,500",2억,293,3/5,남동향,37.554309,126.923296
5907,월세,70,"1,000",19,1/3,남향,37.565383,126.916598
5908,월세,135,"2,000",35,1/6,남동향,37.553909,126.909825
5909,월세,150,"2,000",33,1/3,북향,37.54873,126.921422
5910,월세,150,"3,000",35,1/10,북동향,37.558494,126.906307
5911,월세,400,"5,000",99,1/6,남서향,37.548093,126.920851
5912,월세,180,"2,500",42,B1/4,,37.562836,126.925819
5913,월세,185,"3,000",50,1/5,북서향,37.545982,126.922143
5914,월세,180,"2,500",38,2/3,남서향,37.545993,126.922375
5915,월세,270,"3,000",45,1/3,북서향,37.547052,126.922569
5916,월세,180,"3,000",82,B1/3,북동향,37.548719,126.924442
5917,월세,"1,100","1억 5,000",334,2/5,서향,37.549917,126.920016
5918,월세,550,1억,113,2/5,서향,37.556643,126.925196
5919,매매,0,"5억 2,000",41,1/7,북동향,37.559364,126.902796
5920,월세,320,"5,000",69,1/4,남서향,37.548315,126.920852
