name,latitude,longitude,address,review,savecount,visitorreviewscore,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,school_N,dongcode,aver_sales,subway_d,store_N,rest_N,day_pop,night_pop
리밀커피&밀리,37.5546062,126.9186736,서울 마포구 동교로22길 21 1층,250,"2,000",4.76,6674,44,102,36,5,0,0,2120102,13887209.016260162,657.4685343571072,70,39,508151.67,471457.29
발트 본점,37.5629843,126.9254903,서울 마포구 동교로 262-3 2-3층,214,"7,000",4.52,1811,20,78,126,7,0,0,2130192,14813111.333333334,644.1473165794359,198,111,508151.67,471457.29
유어로스팅파크 & 카페유알피,37.5620215,126.9212786,서울 마포구 성미산로22길 23,250,"1,000",4.34,1062,25,78,107,3,0,6,2120104,19388437.813559324,647.4181896522775,175,93,508151.67,471457.29
연남다방,37.5604843,126.9257232,서울 마포구 연희로1길 36 1.5층,521,"4,000",4.44,5222,20,122,92,7,1,0,2110564,8895260.75,367.32815497731417,168,97,508151.67,471457.29
아크로마커피바,37.5460934,126.9220373,서울 마포구 와우산로3길 16 1층 아크로마커피바,185,"1,000",,711,22,192,33,5,1,0,2110561,11468543.866666667,194.1960115235549,52,34,508151.67,471457.29
아이니드케이크,37.5615622,126.9261745,서울 마포구 동교로38길 33-10 B1,25,"1,000",,2173,20,78,104,6,1,0,2130192,14813111.333333334,490.9526657838138,179,101,508151.67,471457.29
페블스,37.5608991,126.9213678,서울 마포구 연남로3길 23,97,"16,000",,1502,34,66,96,7,0,6,2120104,19388437.813559324,543.1931633306394,165,91,508151.67,471457.29
프레쎄,37.5537812,126.9098288,서울 마포구 동교로 69,348,"15,000",4.75,901,27,34,49,3,1,2,2120100,33044747.18644068,257.92354451344573,85,45,508151.67,471457.29
젤라띠젤라띠,37.5503036,126.9223471,서울 마포구 와우산로17길 12,"1,063","7,000",4.56,2590,36,194,47,5,1,2,2120105,15533136.013986014,291.1509924297903,86,58,508151.67,471457.29
광합성카페,37.5570798,126.9084365,서울 마포구 월드컵로19길 8,802,"13,000",4.52,851,31,80,49,4,1,4,2130186,8688892.75,179.70891771392138,80,40,508151.67,471457.29
고망고 연남점,37.5589469,126.9250423,서울 마포구 양화로21길 15 1층,"3,072","2,000",4.47,1394,20,148,89,5,1,2,2110564,8895260.75,197.4070057550459,166,98,508151.67,471457.29
올루 에스프레소바,37.565159,126.9228079,서울 마포구 성미산로29안길 11 102호,211,"9,000",,439,23,70,100,5,0,6,2110562,16632096.028985508,744.0553974643951,149,82,508151.67,471457.29
브론시스,37.5614361,126.9264666,서울 마포구 연희로1길 57 지층 카페브론시스,526,"1,000",4.35,2173,22,78,99,5,1,0,2130192,14813111.333333334,481.5271123341348,174,98,508151.67,471457.29
고미푸딩,37.5530165,126.9051212,서울 마포구 희우정로10길 20 1층,83,"5,000",,959,22,81,52,3,0,0,2110544,10746372.598484848,553.2035164065545,74,33,508151.67,471457.29
피에트라,37.5661556,126.9200124,서울 마포구 성미산로23길 62 1층,211,"8,000",4.85,782,26,0,49,6,1,6,2110501,11078753.5,475.944486207632,54,21,508151.67,471457.29
츄이구이브레드,37.5459203,126.915056,서울 마포구 토정로3안길 18 2층,844,"13,000",4.61,921,20,77,17,5,1,2,2110559,33065238.87719298,410.6853315986282,51,34,508151.67,471457.29
마르뜨빙수카페,37.5565611,126.904762,서울 마포구 포은로 106-1 1층,154,"1,000",4.73,1177,48,120,55,2,1,2,2130186,8688892.75,469.19924149093856,81,35,508151.67,471457.29
쿠리노키제빵,37.5541601,126.9137029,서울 마포구 동교로12안길 23 1층 쿠리노키 제빵,"1,068","7,000",4.46,1160,32,90,26,6,1,2,2130187,19907050.0,387.0646687140939,51,29,508151.67,471457.29
테이블 연남,37.5619346,126.9251567,서울 마포구 동교로38길 16 2층 테이블 연남,253,"2,000",,5222,21,78,107,7,0,0,2130192,14813111.333333334,527.7242845947163,181,104,508151.67,471457.29
파스텔커피웍스 본점,37.546878,126.9142726,서울 마포구 독막로2길 38 1층,253,"6,000",4.52,921,25,77,19,5,1,2,2130188,,291.2632996805034,61,40,508151.67,471457.29
모어쿠키,37.5622416,126.924508,서울 마포구 동교로 250 1층,626,"7,000",4.81,2173,22,78,114,7,0,6,2110562,16632096.028985508,566.7392342584428,185,104,508151.67,471457.29
언플러그드,37.5554557,126.9292592,서울 마포구 와우산로33길 26 1층,94,"5,000",4.74,694,32,122,24,5,1,4,2110566,20119289.8828125,392.61541449270646,48,25,508151.67,471457.29
콘크리트 엔젤,37.5506613,126.9119047,"서울 마포구 월드컵로3길 14 마포한강푸르지오2차상가 1층 103,104호",354,"2,000",4.33,1049,24,26,21,6,1,2,2120101,33640924.074074075,209.53205585211796,67,47,508151.67,471457.29
띵크프룻,37.5553248,126.9292133,서울 마포구 와우산로29길 14-12 1층,51,"8,000",,2029,35,120,24,5,1,4,2110566,20119289.8828125,396.5214152221511,47,24,508151.67,471457.29
포멜로빈 공덕점,37.5444336,126.9486515,서울 마포구 백범로 170,"1,534","8,000",4.57,4682,42,2,10,6,1,10,2110581,,263.3349788073154,26,17,508151.67,471457.29
매버릭스퀘어,37.5618542,126.9246072,서울 마포구 동교로38길 5 3층,50,900,,2173,23,78,108,8,0,0,2130192,14813111.333333334,522.8815150033812,182,104,508151.67,471457.29
오버스쿱,37.5536351,126.9034259,서울 마포구 망원로2길 82 지하 1층,17,200,,1025,33,105,47,3,0,0,2110544,10746372.598484848,644.9307071364954,69,28,508151.67,471457.29
리벌티 망원,37.5566823,126.904758,서울 마포구 포은로 108 1층,197,"2,000",4.44,1177,47,120,54,2,1,2,2130186,8688892.75,471.2304366836976,80,35,508151.67,471457.29
오랑제뜨21,37.5549744,126.9059419,서울 마포구 월드컵로13길 79 1층 카페 오랑제뜨,381,"1,000",4.59,935,36,98,58,5,1,2,2110544,10746372.598484848,383.1029647394423,89,41,508151.67,471457.29
꽈페 망원점,37.5544141,126.9052927,서울 마포구 포은로 83 1층,294,"1,000",,1265,37,107,57,5,1,0,2110544,10746372.598484848,459.2461037311385,83,38,508151.67,471457.29
모리츠플라츠,37.5560559,126.9313658,서울 마포구 와우산로 174,280,"18,000",4.42,9410,34,108,37,7,1,2,2110569,7397892.166666667,497.8967820596913,101,69,508151.67,471457.29
세잔,37.5538015,126.9056414,서울 마포구 포은로 75 카페 세잔,167,"4,000",4.8,2707,32,99,56,5,1,2,2110544,10746372.598484848,464.91887131234216,84,40,508151.67,471457.29
콘웰,37.5552324,126.9081154,서울 마포구 월드컵로15길 40 2층 콘웰커피,213,"10,000",4.86,934,35,73,60,3,1,2,2130186,8688892.75,195.75968961058453,90,42,508151.67,471457.29
데코아발림본점,37.5484415,126.9217768,서울 마포구 독막로15길 13-6,342,"7,000",4.56,2326,27,240,46,5,1,4,2120105,15533136.013986014,124.47121166791094,88,61,508151.67,471457.29
데우스 카페,37.5497691,126.9213408,서울 마포구 와우산로17길 19-12 2층,166,"4,000",4.44,2326,29,226,49,6,1,0,2120105,15533136.013986014,264.3250225640813,96,67,508151.67,471457.29
오랑지,37.562066,126.9250095,서울 마포구 동교로38길 13,865,"15,000",4.62,5222,22,78,107,7,0,0,2130192,14813111.333333334,542.9532166033415,182,104,508151.67,471457.29
카페그랑주,37.5541305,126.9214498,서울 마포구 홍익로5길 13 동신빌딩 B01,838,"3,000",4.44,6168,41,94,44,7,1,2,2130189,3472192.6666666665,485.77593034304186,73,41,508151.67,471457.29
알로할로,37.5533025,126.90555,서울 마포구 희우정로10길 29 1층,56,"9,000",4.52,2707,24,94,56,3,0,2,2110544,10746372.598484848,503.8333916961788,84,40,508151.67,471457.29
상수동 카스티야,37.5481694,126.92217,서울 마포구 와우산로 39-21,367,"14,000",4.38,2326,27,236,40,5,1,2,2120105,15533136.013986014,78.46536725357367,79,53,508151.67,471457.29
옆구르기,37.5516458,126.9077077,서울 마포구 포은로2길 13 1층,49,500,,703,22,34,36,5,0,2,2110550,6634199.583333333,536.0544432350744,64,37,508151.67,471457.29
리틀그릭,37.5619437,126.9252532,서울 마포구 동교로38길 20 102호 리틀그릭,67,200,,5222,19,78,106,7,0,0,2130192,14813111.333333334,528.4857393962325,181,104,508151.67,471457.29
에뚜왈,37.5642353,126.9246675,서울 마포구 성미산로 170 1층 에뚜왈,969,"13,000",4.61,668,19,78,130,7,0,6,2110562,16632096.028985508,785.7014382135823,200,112,508151.67,471457.29
코메아벨렘,37.5623749,126.9267687,서울 마포구 성미산로 198 동진시장 1층,272,"7,000",4.53,1533,23,78,115,8,0,0,2130192,14813111.333333334,589.151075734133,193,108,508151.67,471457.29
더파이샵,37.5649025,126.9242773,서울 마포구 성미산로 163 1층,93,"8,000",,423,21,78,125,7,0,8,2110506,,862.8714850376151,192,110,508151.67,471457.29
도 도넛,37.5619759,126.9263177,서울 마포구 동교로38길 33-18 프라임빌딩 101호,84,800,,2173,20,78,109,8,0,0,2130192,14813111.333333334,538.3158816373835,187,104,508151.67,471457.29
커피폴리,37.5520535,126.91592,서울 마포구 양화로11길 14,869,"3,000",4.53,1733,36,127,36,6,1,2,2130187,19907050.0,346.3252760782566,89,59,508151.67,471457.29
솔트 포레스트,37.5621237,126.9256913,서울 마포구 동교로46길 18-3 1층 솔트 포레스트,77,300,,2173,22,78,113,7,0,0,2130192,14813111.333333334,549.0624739252439,189,109,508151.67,471457.29
플렘므,37.56423,126.9224974,서울 마포구 성미산로29길 3 1층,255,"2,000",4.77,794,22,78,102,5,0,6,2110562,16632096.028985508,778.6347593963137,165,92,508151.67,471457.29
