tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,store_N,rest_N,day_pop,night_pop,2nPrc_str,2nPrc,평당가격,가성비,가성비_Rank,floor_estate,floor_buliding
월세,130,"1,000",84,3/5,북서향,37.540444,126.948758,4364,37,15,5,7,2,267.2883287301047,4,23,14,508151.67,471457.29,"130*24+1,000",41200000.0,490476.1904761905,0.00889747572815534,60,3,5
월세,600,"6,000",1101,B2/11,서향,37.556072,126.922097,1647,33,87,45,8,1,315.13686181801967,2,80,43,508151.67,471457.29,"600*24+6,000",204000000.0,185286.10354223434,0.008888955882352941,61,B2,11
월세,440,"5,000",176,3/5,남향,37.550111,126.920849,7825,32,238,51,6,1,319.536675585063,2,99,69,508151.67,471457.29,"440*24+5,000",155600000.0,884090.9090909091,0.008850899742930591,62,3,5
월세,300,"3,000",119,2/6,북서향,37.554817,126.916446,7549,43,103,27,8,0,581.2514263097789,0,51,26,508151.67,471457.29,"300*24+3,000",102000000.0,857142.8571428572,0.008807166666666666,63,2,6
월세,180,"2,000",26,1/5,북향,37.551877,126.918725,21404,39,229,49,7,0,515.0313036322419,0,102,72,508151.67,471457.29,"180*24+2,000",63200000.0,2430769.230769231,0.008805443037974682,64,1,5
월세,250,"3,000",92,3/5,남향,37.54882,126.91742,8571,32,250,46,7,2,332.29603046080257,2,106,73,508151.67,471457.29,"250*24+3,000",90000000.0,978260.8695652174,0.008761466666666667,65,3,5
월세,470,"6,000",200,2/4,남서향,37.554202,126.916781,7549,42,104,27,8,0,591.2655547343054,0,56,29,508151.67,471457.29,"470*24+6,000",172800000.0,864000.0,0.00873726851851852,66,2,4
월세,350,"5,000",120,1/7,서향,37.550724,126.918343,9743,31,248,49,6,1,429.4159621669054,2,105,75,508151.67,471457.29,"350*24+5,000",134000000.0,1116666.6666666667,0.008725074626865672,67,1,7
월세,200,"3,000",118,2/6,동향,37.556761,126.926024,5756,30,122,50,5,1,74.22573504415317,2,83,41,508151.67,471457.29,"200*24+3,000",78000000.0,661016.9491525424,0.008707794871794872,68,2,6
월세,"1,200",2억,198,1/8,북서향,37.55213,126.917916,21404,38,236,42,6,1,472.80089695404695,0,96,68,508151.67,471457.29,"1,200*24+2억",488000000.0,2464646.4646464647,0.008684409836065573,69,1,8
월세,200,"2,000",100,2/4,남서향,37.549473,126.918152,5890,31,252,48,8,2,389.0451033543845,2,108,77,508151.67,471457.29,"200*24+2,000",68000000.0,680000.0,0.008661764705882353,70,2,4
월세,150,"3,000",149,B1/6,,37.55018,126.955506,3797,19,0,4,7,1,412.02780258041406,4,10,8,508151.67,471457.29,"150*24+3,000",66000000.0,442953.02013422817,0.008572015151515152,71,B1,6
