,dong,food,func,set,data
24,0.0,4.0,11.0,0.0,37.0
25,0.0,4.0,11.0,1.0,882.0
26,0.0,4.0,11.0,2.0,1096.0
27,0.0,4.0,11.0,3.0,731.0
28,0.0,4.0,11.0,4.0,476.0
29,0.0,4.0,11.0,5.0,270.0
30,0.0,5.0,11.0,0.0,89.0
31,0.0,5.0,11.0,1.0,318.0
32,0.0,5.0,11.0,2.0,300.0
33,0.0,5.0,11.0,3.0,296.0
34,0.0,5.0,11.0,4.0,322.0
35,0.0,5.0,11.0,5.0,132.0
36,0.0,6.0,11.0,0.0,7.0
37,0.0,6.0,11.0,1.0,113.0
38,0.0,6.0,11.0,2.0,119.0
39,0.0,6.0,11.0,3.0,122.0
40,0.0,6.0,11.0,4.0,136.0
41,0.0,6.0,11.0,5.0,48.0
42,0.0,7.0,11.0,0.0,13.0
43,0.0,7.0,11.0,1.0,224.0
44,0.0,7.0,11.0,2.0,316.0
45,0.0,7.0,11.0,3.0,289.0
46,0.0,7.0,11.0,4.0,207.0
47,0.0,7.0,11.0,5.0,91.0
48,0.0,8.0,11.0,0.0,1.0
49,0.0,8.0,11.0,1.0,44.0
50,0.0,8.0,11.0,2.0,88.0
51,0.0,8.0,11.0,3.0,88.0
52,0.0,8.0,11.0,4.0,91.0
53,0.0,8.0,11.0,5.0,40.0
54,0.0,9.0,11.0,0.0,37.0
55,0.0,9.0,11.0,1.0,800.0
56,0.0,9.0,11.0,2.0,894.0
57,0.0,9.0,11.0,3.0,545.0
58,0.0,9.0,11.0,4.0,404.0
59,0.0,9.0,11.0,5.0,155.0
0,0.0,0.0,21.0,0.0,114.0
1,0.0,0.0,21.0,1.0,120.0
2,0.0,0.0,21.0,2.0,118.0
3,0.0,0.0,21.0,3.0,123.0
4,0.0,0.0,21.0,4.0,123.0
5,0.0,0.0,21.0,5.0,67.0
6,0.0,0.0,21.0,6.0,42.0
7,0.0,1.0,21.0,0.0,120.0
8,0.0,1.0,21.0,1.0,103.0
9,0.0,1.0,21.0,2.0,130.0
10,0.0,1.0,21.0,3.0,138.0
11,0.0,1.0,21.0,4.0,146.0
12,0.0,1.0,21.0,5.0,122.0
13,0.0,1.0,21.0,6.0,104.0
14,0.0,2.0,21.0,0.0,75.0
15,0.0,2.0,21.0,1.0,86.0
16,0.0,2.0,21.0,2.0,89.0
17,0.0,2.0,21.0,3.0,89.0
18,0.0,2.0,21.0,4.0,94.0
19,0.0,2.0,21.0,5.0,36.0
20,0.0,2.0,21.0,6.0,16.0
21,0.0,3.0,21.0,0.0,216.0
22,0.0,3.0,21.0,1.0,229.0
23,0.0,3.0,21.0,2.0,231.0
24,0.0,3.0,21.0,3.0,240.0
25,0.0,3.0,21.0,4.0,240.0
26,0.0,3.0,21.0,5.0,150.0
27,0.0,3.0,21.0,6.0,152.0
28,0.0,4.0,21.0,0.0,489.0
29,0.0,4.0,21.0,1.0,507.0
30,0.0,4.0,21.0,2.0,541.0
31,0.0,4.0,21.0,3.0,538.0
32,0.0,4.0,21.0,4.0,662.0
33,0.0,4.0,21.0,5.0,537.0
34,0.0,4.0,21.0,6.0,381.0
35,0.0,5.0,21.0,0.0,214.0
36,0.0,5.0,21.0,1.0,215.0
37,0.0,5.0,21.0,2.0,223.0
38,0.0,5.0,21.0,3.0,217.0
39,0.0,5.0,21.0,4.0,259.0
40,0.0,5.0,21.0,5.0,240.0
41,0.0,5.0,21.0,6.0,185.0
42,0.0,6.0,21.0,0.0,72.0
43,0.0,6.0,21.0,1.0,80.0
44,0.0,6.0,21.0,2.0,85.0
45,0.0,6.0,21.0,3.0,89.0
46,0.0,6.0,21.0,4.0,107.0
47,0.0,6.0,21.0,5.0,90.0
48,0.0,6.0,21.0,6.0,68.0
49,0.0,7.0,21.0,0.0,208.0
50,0.0,7.0,21.0,1.0,223.0
51,0.0,7.0,21.0,2.0,206.0
52,0.0,7.0,21.0,3.0,225.0
53,0.0,7.0,21.0,4.0,220.0
54,0.0,7.0,21.0,5.0,111.0
55,0.0,7.0,21.0,6.0,43.0
56,0.0,8.0,21.0,0.0,72.0
57,0.0,8.0,21.0,1.0,70.0
58,0.0,8.0,21.0,2.0,76.0
59,0.0,8.0,21.0,3.0,75.0
60,0.0,8.0,21.0,4.0,76.0
61,0.0,8.0,21.0,5.0,36.0
62,0.0,8.0,21.0,6.0,22.0
63,0.0,9.0,21.0,0.0,504.0
64,0.0,9.0,21.0,1.0,542.0
65,0.0,9.0,21.0,2.0,539.0
66,0.0,9.0,21.0,3.0,545.0
67,0.0,9.0,21.0,4.0,527.0
68,0.0,9.0,21.0,5.0,299.0
69,0.0,9.0,21.0,6.0,259.0
0,0.0,0.0,22.0,0.0,3850710.0
1,0.0,0.0,22.0,1.0,4295980.0
2,0.0,0.0,22.0,2.0,4148400.0
3,0.0,0.0,22.0,3.0,4375280.0
4,0.0,0.0,22.0,4.0,4384170.0
5,0.0,0.0,22.0,5.0,2769970.0
6,0.0,0.0,22.0,6.0,1558700.0
7,0.0,1.0,22.0,0.0,3397960.0
8,0.0,1.0,22.0,1.0,2866330.0
9,0.0,1.0,22.0,2.0,3598260.0
10,0.0,1.0,22.0,3.0,3791880.0
11,0.0,1.0,22.0,4.0,3807430.0
12,0.0,1.0,22.0,5.0,3045040.0
13,0.0,1.0,22.0,6.0,2690550.0
14,0.0,2.0,22.0,0.0,4906390.0
15,0.0,2.0,22.0,1.0,5777400.0
16,0.0,2.0,22.0,2.0,6228660.0
17,0.0,2.0,22.0,3.0,6463570.0
18,0.0,2.0,22.0,4.0,6406870.0
19,0.0,2.0,22.0,5.0,3113650.0
20,0.0,2.0,22.0,6.0,889320.0
21,0.0,3.0,22.0,0.0,6560980.0
22,0.0,3.0,22.0,1.0,8093170.0
23,0.0,3.0,22.0,2.0,7756510.0
24,0.0,3.0,22.0,3.0,8315520.0
25,0.0,3.0,22.0,4.0,8759960.0
26,0.0,3.0,22.0,5.0,6435000.0
27,0.0,3.0,22.0,6.0,6185870.0
28,0.0,4.0,22.0,0.0,6962740.0
29,0.0,4.0,22.0,1.0,7532170.0
30,0.0,4.0,22.0,2.0,8201680.0
31,0.0,4.0,22.0,3.0,8059390.0
