,ARS-ID,정류소명,X좌표,Y좌표
232,14350,가좌행복주택.건영월드컵아파트,126.9123798,37.56929804
233,14351,가좌행복주택.건영월드컵아파트,126.911788,37.56931633
234,14352,월드컵아이파크,126.9134887,37.5666307
235,14353,월드컵아이파크,126.9136847,37.56647135
236,14354,DMC첨단산업센터,126.8867308,37.58402615
237,14355,DMC첨단산업센터,126.8866227,37.58361875
238,14356,SBS.YTN,126.8944828,37.57974505
239,14357,SBS.YTN,126.8940289,37.5796266
240,14358,공항철도디지털미디어시티역,126.8989059,37.57669692
241,14359,공항철도디지털미디어시티역,126.8980882,37.57694402
242,14360,디지털미디어시티역,126.9008712,37.57510366
243,14361,상암동주민센터앞,126.8939275,37.5784614
244,14362,MBC,126.8909503,37.58189405
245,14363,MBC,126.8908953,37.58165157
246,14490,난지천공원,126.8868466,37.57409264
247,14491,공덕시장,126.9541673,37.54438686
248,14492,마포16번종점,126.8988594,37.5608656
249,14493,서부면허시험장.월드컵파크8단지,126.8816816,37.57850743
250,14494,창전중앙하이츠아파트,126.9275632,37.55007756
251,14495,망원유수지.마포구민체육센터,126.8985925,37.55649687
252,14496,양화진성지,126.9119308,37.54564037
253,14497,홍대입구역,126.9236679,37.55732547
254,14498,홍대입구역,126.9235362,37.55763657
255,14499,아현전철역,126.956065,37.55689615
256,14500,샛별문방구.마포전철역,126.9476288,37.5398243
257,14501,청암대,126.9477584,37.53568922
258,14502,한겨레신문사,126.9589794,37.5471556
259,14503,동원데자뷰아파트,126.8992212,37.56033787
260,14505,창전삼성아파트109동,126.9302782,37.55024461
261,14506,홍대후문,126.9273675,37.55120613
262,14507,신촌수정탕,126.9375706,37.54979815
263,14508,태양빌딩,126.8993651,37.55606411
264,14509,난지천공원,126.8860527,37.57408838
265,14510,다운교회,126.9126608,37.54559586
266,14511,동교로사거리,126.9210303,37.55579133
267,14512,코오롱아파트106동앞,126.9231009,37.56090911
268,14513,가든호텔.삼성프라자,126.949368,37.54079491
269,14514,우성아파트3동,126.9475069,37.53616489
270,14515,대상아파트,126.899642,37.55974261
271,14517,창전삼성아파트107동,126.9309953,37.55073162
272,14518,서강유치원,126.927995,37.55191207
273,14519,삼익아파트입구,126.9356035,37.54990702
274,14520,용약국,126.9367688,37.55443385
275,14521,월드컵파크3단지,126.8880659,37.57257997
276,14522,한이맨션,126.9141581,37.54551586
277,14524,코오롱아파트104동앞,126.9219754,37.56229335
278,14525,돼지슈퍼,126.9614846,37.55692161
279,14527,하나님의교회,126.9600539,37.5462756
280,14528,신부파스카아파트,126.9003564,37.55875742
281,14530,창전삼성아파트104동,126.9315847,37.55107709
282,14531,유관순무용원,126.9290988,37.55273544
283,14532,신수경남아파트,126.9336172,37.55001045
284,14534,성원아파트,126.901618,37.55653457
285,14536,서일빌딩,126.9159826,37.54541625
286,14537,청원빌딩,126.918165,37.55841517
287,14538,코오롱아파트사거리,126.9213939,37.56303456
288,14539,신일약국,126.9625988,37.55601006
289,14540,아현실버복지관,126.9602156,37.55764126
290,14541,S마트,126.9475662,37.53868828
291,14542,동교초등학교,126.9014439,37.55722737
292,14544,창전삼성아파트입구,126.9324081,37.55162993
