,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N
616,월세,200,"2,000",97,2/4,남동향,37.559796,126.921363,1037,36,3,150,8,1
617,월세,300,"3,000",43,1/5,북서향,37.561654,126.92627,1139,13,1,223,3,0
618,월세,150,"3,000",41,1/3,동향,37.566314,126.91697,904,20,0,53,4,1
619,월세,170,"2,500",33,1/2,남향,37.562117,126.926043,1140,14,1,233,3,0
620,월세,230,"3,000",79,1/5,남동향,37.560504,126.921764,1038,34,1,214,8,1
621,월세,150,"2,000",24,4/4,동향,37.564639,126.924998,1305,14,1,255,3,0
622,월세,200,"2,000",26,3/4,동향,37.564639,126.924998,1305,14,1,255,3,0
623,월세,88,"1,500",20,1/2,북동향,37.561338,126.922433,1242,24,1,273,4,0
624,월세,430,"5,000",59,2/4,동향,37.564639,126.924998,1305,14,1,255,3,0
625,월세,75,500,48,B1/5,북서향,37.562633,126.920506,982,26,1,247,3,0
626,월세,430,"5,000",47,1/4,동향,37.564639,126.924998,1305,14,1,255,3,0
627,월세,450,"5,000",50,B1/4,동향,37.564639,126.924998,1305,14,1,255,3,0
628,월세,500,"7,000",115,1/5,동향,37.565563,126.92397,879,15,0,242,3,0
629,월세,150,"2,500",38,2/3,동향,37.561803,126.926469,1378,12,1,221,3,0
630,월세,470,"6,500",95,B1/3,남동향,37.56485,126.92331,909,18,1,267,3,0
631,월세,230,"3,500",56,3/3,동향,37.56485,126.92331,909,18,1,267,3,0
632,월세,75,500,48,B1/5,북서향,37.562633,126.920506,982,26,1,247,3,0
633,월세,430,"6,000",95,1/3,동향,37.56485,126.92331,909,18,1,267,3,0
634,월세,210,"2,500",43,2/2,동향,37.566297,126.920844,906,15,0,135,3,0
635,월세,180,"3,000",56,2/5,남서향,37.562637,126.925044,1417,15,1,257,3,0
636,월세,400,"5,000",165,1/4,동향,37.565089,126.923774,902,17,1,258,3,0
637,월세,"1,600","1억 9,000",246,1/4,,37.564639,126.924998,1305,14,1,255,3,0
638,월세,150,"2,000",30,4/4,북서향,37.564639,126.924998,1305,14,1,255,3,0
639,월세,500,"6,500",95,B1/3,서향,37.56485,126.92331,909,18,1,267,3,0
640,월세,400,"5,000",165,1/4,북동향,37.565089,126.923774,902,17,1,258,3,0
641,월세,200,"2,000",49,1/4,북동향,37.560726,126.920469,953,31,1,156,6,0
642,월세,650,"7,000",147,2/3,북동향,37.562925,126.926168,1305,12,1,240,2,0
643,월세,350,"3,000",78,2/3,남향,37.560849,126.924547,1600,21,1,228,5,1
644,월세,210,"2,500",49,2/2,동향,37.566297,126.920844,906,15,0,135,3,0
645,월세,150,"3,000",62,B1/5,북동향,37.561615,126.922195,1155,21,1,278,5,0
646,월세,235,"3,000",54,1/2,남향,37.561053,126.924933,1509,19,1,235,5,1
647,월세,190,"4,000",97,B1/6,동향,37.565996,126.92091,966,18,0,150,3,0
648,월세,230,"3,000",50,B1/3,남동향,37.560609,126.925422,1302,17,2,207,4,1
649,월세,430,"5,000",60,1/4,,37.564639,126.924998,1305,14,1,255,3,0
650,월세,400,"5,000",175,1/4,북동향,37.565089,126.923774,902,17,1,258,3,0
651,월세,290,"4,000",52,1/3,북향,37.560935,126.924803,1600,20,1,230,5,1
652,월세,260,"3,000",74,2/4,북동향,37.562836,126.925819,1344,12,1,245,2,0
653,월세,210,"3,000",34,1/3,북서향,37.561856,126.926786,1019,12,1,206,2,0
654,월세,200,"2,000",28,3/4,북서향,37.564639,126.924998,1305,14,1,255,3,0
655,월세,170,"2,000",56,B1/2,북향,37.560927,126.924949,1600,18,1,224,5,1
656,월세,500,"7,000",115,1/5,남서향,37.565563,126.92397,879,15,0,242,3,0
657,월세,260,"3,000",50,B1/3,남향,37.56207,126.925007,1140,15,1,251,3,0
658,월세,250,"3,000",54,3/4,남서향,37.56634,126.919972,877,17,0,125,4,1
659,월세,400,"5,000",64,2/2,동향,37.562159,126.926715,1420,11,1,217,3,0
660,월세,250,"4,000",46,B1/2,동향,37.562159,126.926715,1420,11,1,217,3,0
661,월세,150,"3,000",26,3/3,동향,37.562159,126.926715,1420,11,1,217,3,0
662,월세,240,"3,000",36,2/4,남향,37.561743,126.925266,1238,16,1,243,4,0
663,월세,180,"3,000",36,2/3,,37.560579,126.923681,1416,21,2,228,5,1
664,월세,170,"2,000",61,B1/3,서향,37.565471,126.923667,906,15,1,243,3,0
665,월세,109,"1,000",59,1/3,동향,37.561578,126.919992,913,30,1,174,5,0
666,월세,150,"2,500",42,2/3,동향,37.561803,126.926469,1378,12,1,221,3,0
667,월세,"1,500",2억,280,1/4,동향,37.561382,126.924111,1514,21,1,255,5,1
668,월세,280,"4,000",49,B1/4,북동향,37.562458,126.925371,1153,13,1,254,3,0
669,월세,500,"5,000",45,1/5,북향,37.562597,126.924846,1466,16,1,259,3,0
670,월세,240,"4,000",49,B1/4,동향,37.562458,126.925371,1153,13,1,254,3,0
